QSO z_abs EW_r EW_r_e logN logN_l logN_u
J033108-252443 2.454749 0.292 0.005 14.002 0.032 0.035
J033108-252443 2.4254857 0.071 0.002 13.279 0.038 0.045
J033108-252443 2.5687243 0.012 0.001 12.505 0.044 0.072
J033108-252443 2.1587669 0.059 0.003 13.177 0.032 0.041
J033244-445557 2.1783244 0.054 0.003 13.249 0.066 0.087
J033244-445557 2.4641266 0.076 0.004 13.314 0.035 0.046
J033244-445557 2.4130325 0.04 0.003 13.023 0.036 0.055
J033244-445557 2.2773852 0.053 0.003 13.164 0.047 0.059
J033244-445557 2.3543416 0.25 0.005 13.914 0.033 0.037
J033244-445557 2.1654484 0.24 0.005 13.955 0.04 0.044
J033244-445557 2.4986074 0.157 0.006 13.739 0.049 0.055
J033413-161205 3.3554987 0.05 0.002 13.143 0.048 0.06
J033413-161205 3.3196914 0.085 0.005 13.353 0.032 0.044
J033413-161205 3.7598007 0.257 0.007 13.931 0.03 0.037
J033413-161205 4.1579109 0.117 0.004 13.593 0.046 0.06
J033413-161205 3.22833 0.311 0.004 14.045 0.032 0.035
J033413-161205 3.2623034 0.008 0.001 12.32 0.054 0.103
J033413-161205 3.8661894 0.035 0.004 12.953 0.035 0.067
J033413-161205 4.2516884 0.086 0.006 13.374 0.033 0.049
J033413-161205 3.5566685 0.11 0.008 13.487 0.029 0.043
J033626-201940 2.4046723 0.043 0.004 13.09 0.046 0.081
J033626-201940 3.0446397 0.591 0.017 14.346 0.021 0.034
J033626-201940 2.8930708 0.103 0.009 13.485 0.032 0.061
J033829+002156 4.1754439 0.247 0.018 13.836 0.019 0.031
J033829+002156 4.1409534 0.158 0.009 13.64 0.024 0.039
J033829+002156 4.4165228 0.311 0.01 14.039 0.029 0.04
J033854-000521 2.5051714 0.06 0.005 13.284 0.052 0.088
J033854-000521 2.3417072 0.149 0.008 13.691 0.036 0.058
J033854-000521 2.3211865 0.091 0.007 13.462 0.049 0.075
J033854-000521 2.227596 0.127 0.003 13.716 0.05 0.066
J033854-000521 2.3522135 0.279 0.013 14.023 0.029 0.051
J033900-013318 3.1153334 0.373 0.018 14.084 0.03 0.047
J033900-013318 2.4656931 0.138 0.005 13.754 0.066 0.103
J033900-013318 2.4167688 0.571 0.004 14.587 0.0 1.0
J033900-013318 2.9510153 0.093 0.007 13.495 0.055 0.11
J033900-013318 2.4349317 0.122 0.008 13.593 0.055 0.082
J034957-210247 2.1211655 0.108 0.009 13.509 0.033 0.061
J034957-210247 2.1346801 0.507 0.011 14.375 0.0 1.0
J035320-231417 1.8117517 0.88 0.019 14.57 0.0 1.0
J040114-395132 1.3322994 0.964 0.022 14.615 0.008 0.028
J040241-064124 2.2827162 0.858 0.023 14.592 0.0 1.0
J040241-064124 1.8044878 0.474 0.01 14.381 0.0 1.0
J042408+020425 1.8940177 0.04 0.002 13.049 0.053 0.068
J042408+020425 1.6368287 1.154 0.008 14.911 0.013 0.019
J042408+020425 1.4770732 0.091 0.002 13.484 0.062 0.072
J042408+020425 1.4550852 0.21 0.005 13.989 0.053 0.062
J042408+020425 1.597313 0.182 0.004 13.801 0.044 0.05
J042408+020425 1.9982881 0.13 0.007 13.531 0.022 0.031
J042408+020425 1.537428 0.137 0.003 13.717 0.056 0.065
J042644-520819 2.1386677 0.113 0.006 13.557 0.039 0.059
J042644-520819 2.0961384 0.264 0.012 13.973 0.031 0.045
J042644-520819 2.0476607 0.186 0.008 13.825 0.037 0.062
J042644-520819 1.8344331 0.09 0.007 13.455 0.039 0.07
J042644-520819 1.7026942 1.773 0.015 15.013 0.0 1.0
J043038-133546 2.3658621 1.232 0.012 14.77 0.015 0.022
J043038-133546 2.5496946 0.308 0.007 14.046 0.028 0.036
J043038-133546 3.0124562 0.086 0.007 13.478 0.05 0.072
J043403-435547 2.3535929 0.043 0.006 13.064 0.033 0.075
J043403-435547 2.3009425 0.231 0.007 13.96 0.038 0.05
J043403-435547 2.3679203 0.644 0.02 14.4 0.022 0.031
J043403-435547 2.2827003 0.345 0.006 14.296 0.0 1.0
J044534-354704 1.9356222 0.015 0.002 12.592 0.053 0.095
J044534-354704 1.8666122 0.252 0.002 14.328 0.0 1.0
J044534-354704 2.0944754 0.456 0.008 14.34 0.029 0.037
J044534-354704 2.193484 0.142 0.006 13.67 0.045 0.056
J044534-354704 1.8738876 0.031 0.003 12.916 0.04 0.06
J044821+095051 1.4662776 0.305 0.015 14.067 0.028 0.054
J045142-132032 2.4899605 0.032 0.002 12.918 0.052 0.072
J045142-132032 2.3131107 0.321 0.004 14.23 0.0 1.0
J045142-132032 2.9114145 0.024 0.002 12.777 0.044 0.066
J045142-132032 2.7745307 0.196 0.008 13.789 0.031 0.036
J045313-130555 2.1064565 1.04 0.002 14.982 0.0 1.0
J051410-332622 1.5009113 0.032 0.004 12.93 0.039 0.064
J051410-332622 1.2304653 0.247 0.012 13.903 0.02 0.034
J051939-364611 1.2117974 0.613 0.031 14.372 0.0 1.0
J060008-504036 2.9116996 0.036 0.002 13.001 0.048 0.061
J060008-504036 2.7663099 0.122 0.006 13.531 0.025 0.032
J060008-504036 2.7947697 0.112 0.005 13.488 0.027 0.034
J060008-504036 2.9900748 0.018 0.002 12.663 0.052 0.072
J060008-504036 2.4097042 0.292 0.012 13.931 0.017 0.022
J060008-504036 2.960937 0.129 0.006 13.557 0.022 0.03
J060008-504036 2.932255 0.034 0.003 12.945 0.032 0.05
J060008-504036 2.5761228 0.603 0.007 14.403 0.019 0.024
J064204+675835 2.621375 0.028 0.002 12.861 0.031 0.049
J064204+675835 3.1113047 0.009 0.001 12.358 0.047 0.073
J064204+675835 2.3249118 0.043 0.002 13.057 0.041 0.048
J064204+675835 3.0172359 0.181 0.005 13.788 0.036 0.041
J064204+675835 2.6820231 0.054 0.004 13.138 0.023 0.036
J064204+675835 2.904332 0.712 0.006 14.497 0.023 0.025
J064204+675835 2.8683335 0.051 0.003 13.112 0.028 0.041
J064204+675835 2.8918506 0.116 0.006 13.508 0.029 0.033
J064204+675835 2.4752493 0.444 0.007 14.283 0.033 0.039
J064204+675835 2.3111638 0.24 0.008 13.839 0.025 0.028
J064204+675835 2.5946994 0.016 0.001 12.622 0.04 0.058
J064204+675835 2.6904763 0.007 0.001 12.259 0.051 0.1
J064632+445116 3.2358478 0.048 0.006 13.12 0.037 0.071
J064632+445116 3.1402095 0.144 0.009 13.646 0.027 0.045
J064632+445116 2.9514583 0.172 0.012 13.706 0.022 0.037
J064632+445116 3.12303 0.317 0.007 14.038 0.024 0.031
J064632+445116 3.2481482 0.332 0.011 14.021 0.021 0.028
J064632+445116 2.9716452 0.193 0.012 13.739 0.022 0.031
J073149+285448 2.6869861 0.105 0.004 13.474 0.034 0.043
J073149+285448 3.1369787 0.208 0.007 13.826 0.033 0.043
J073149+285448 2.9889631 0.097 0.008 13.421 0.029 0.047
J073149+285448 2.798771 0.143 0.006 13.646 0.038 0.047
J073149+285448 2.7876319 0.28 0.006 14.037 0.037 0.044
J073149+285448 3.5496182 0.986 0.018 14.577 0.018 0.023
J073149+285448 3.6078063 0.095 0.004 13.423 0.033 0.046
J073149+285448 3.4148842 0.182 0.016 13.688 0.023 0.037
J073149+285448 2.9452931 0.173 0.007 13.779 0.04 0.051
J073149+285448 3.2098388 0.37 0.007 14.201 0.035 0.043
J074749+443417 3.6210247 0.019 0.004 12.714 0.049 0.117
J074749+443417 3.7084208 0.137 0.011 13.617 0.025 0.048
J074749+443417 3.3099699 0.035 0.006 12.981 0.03 0.068
J074749+443417 3.6604756 0.252 0.018 13.968 0.022 0.046
J074927+415242 2.5298565 0.021 0.003 12.707 0.033 0.067
J074927+415242 2.6450217 0.125 0.006 13.6 0.029 0.038
J074927+415242 2.5843742 0.086 0.007 13.393 0.024 0.037
J074927+415242 2.7545097 0.129 0.006 13.63 0.031 0.04
J074927+415242 2.6142236 0.073 0.004 13.333 0.034 0.046
J074927+415242 3.0177524 0.334 0.015 14.021 0.018 0.023
J074927+415242 2.4504419 0.152 0.005 13.859 0.038 0.049
J074927+415242 2.7649743 0.153 0.009 13.676 0.025 0.034
J074927+415242 2.985293 0.01 0.002 12.369 0.035 0.085
J074927+415242 2.9184056 0.039 0.004 12.998 0.022 0.045
J075054+425219 1.7742377 0.019 0.001 12.694 0.063 0.083
J075054+425219 1.4376084 0.02 0.002 12.704 0.052 0.081
J075054+425219 1.8531127 0.013 0.001 12.532 0.064 0.087
J075054+425219 1.861513 0.023 0.001 12.764 0.048 0.064
J075054+425219 1.5952746 0.207 0.003 13.912 0.05 0.054
J075054+425219 1.8070327 0.143 0.003 13.63 0.037 0.042
J075054+425219 1.4647132 0.032 0.003 12.914 0.048 0.068
J075054+425219 1.7298928 0.121 0.007 13.552 0.041 0.049
J075054+425219 1.6128785 0.024 0.001 12.785 0.059 0.078
J075054+425219 1.5399653 0.038 0.001 13.111 0.1 0.111
J075054+425219 1.632995 0.034 0.002 12.954 0.047 0.061
J080117+521034 2.8693664 0.942 0.012 14.592 0.019 0.024
J080117+521034 3.0392565 0.273 0.006 13.984 0.031 0.034
J080117+521034 2.9210142 0.015 0.001 12.589 0.057 0.082
J080117+521034 2.7259947 0.067 0.003 13.253 0.03 0.039
J080117+521034 2.8921741 0.092 0.004 13.394 0.028 0.036
J080117+521034 2.6020747 0.823 0.006 14.653 0.023 0.026
J080518+614423 2.8235257 0.048 0.006 13.164 0.047 0.088
J080518+614423 2.7467038 0.218 0.008 13.998 0.0 1.0
J080518+614423 2.6538816 0.1 0.008 13.492 0.04 0.063
J080518+614423 2.7332069 0.867 0.02 14.621 0.0 1.0
J081435+502946 3.1537534 0.043 0.004 13.051 0.036 0.058
J081435+502946 3.2817104 0.739 0.009 14.511 0.02 0.024
J081435+502946 3.3660273 0.008 0.001 12.268 0.058 0.106
J081435+502946 2.9573007 0.117 0.006 13.515 0.028 0.035
J081435+502946 3.7293195 0.02 0.002 12.724 0.041 0.068
J081435+502946 3.336443 0.29 0.019 13.971 0.024 0.033
J081435+502946 3.5275896 0.016 0.002 12.572 0.066 0.093
J081435+502946 3.6048827 0.025 0.003 12.815 0.038 0.062
J081435+502946 3.203714 0.021 0.003 12.719 0.031 0.063
J081435+502946 3.5477653 0.165 0.007 13.699 0.027 0.035
J082003+155932 1.4593982 1.041 0.015 14.685 0.0 1.0
J082003+155932 1.546995 2.225 0.01 15.082 0.0 1.0
J082003+155932 1.8146419 0.298 0.013 14.033 0.028 0.045
J082003+155932 1.7924955 0.104 0.003 13.713 0.058 0.118
J082107+310751 2.5515717 0.082 0.004 13.357 0.03 0.037
J082107+310751 1.8805528 0.256 0.005 13.958 0.031 0.034
J082107+310751 1.9442737 0.446 0.009 14.174 0.021 0.024
J082107+310751 1.9175158 0.117 0.002 13.685 0.053 0.058
J082107+310751 2.5866233 0.025 0.003 12.822 0.036 0.052
J082107+310751 2.2513497 0.049 0.003 13.114 0.03 0.042
J082107+310751 1.9802953 0.032 0.003 12.924 0.039 0.056
J082107+310751 2.5349287 0.438 0.006 14.224 0.022 0.025
J082107+310751 2.4446029 0.205 0.003 13.952 0.037 0.047
J082540+354414 3.5301245 0.122 0.005 13.587 0.027 0.038
J082540+354414 2.96877 0.108 0.009 13.461 0.019 0.031
J082540+354414 3.6097655 0.173 0.006 13.799 0.03 0.039
J082540+354414 3.1768893 0.777 0.015 14.456 0.014 0.018
J082540+354414 3.2819622 0.193 0.007 13.83 0.028 0.036
J082540+354414 2.8656009 0.034 0.002 12.988 0.04 0.056
J082540+354414 2.9579676 0.019 0.002 12.719 0.044 0.07
J082540+354414 3.2065942 1.03 0.012 14.773 0.0 1.0
J082540+354414 2.9163054 0.717 0.005 14.764 0.0 1.0
J082540+354414 2.8798003 0.375 0.012 14.12 0.022 0.027
J082619+314848 2.91824 0.058 0.005 13.231 0.038 0.051
J082619+314848 2.5068359 0.273 0.012 13.943 0.02 0.027
J082619+314848 2.3577256 0.037 0.003 13.006 0.035 0.053
J082619+314848 2.3837592 0.082 0.006 13.351 0.024 0.038
J082619+314848 2.6740221 0.018 0.002 12.679 0.039 0.071
J082619+314848 2.603883 0.044 0.006 13.099 0.042 0.06
J082619+314848 2.2451322 0.151 0.007 13.631 0.021 0.026
J082619+314848 2.8687239 0.051 0.003 13.177 0.039 0.054
J082619+314848 2.7914409 0.021 0.004 12.695 0.033 0.067
J082619+314848 2.2587252 0.017 0.002 12.649 0.039 0.065
J082849+085854 2.1382003 0.856 0.011 14.651 0.011 0.025
J082849+085854 2.0432143 1.042 0.022 14.71 0.0 1.0
J082849+085854 1.6625969 0.277 0.012 14.064 0.027 0.05
J082849+085854 1.7136677 0.224 0.007 14.03 0.0 1.0
J083102+335803 1.8512053 0.063 0.005 13.274 0.051 0.079
J083102+335803 2.2208374 0.1 0.003 13.615 0.058 0.079
J083102+335803 2.1124244 0.052 0.004 13.153 0.04 0.065
J083102+335803 2.3009602 0.562 0.021 14.331 0.021 0.037
J083102+335803 2.0955511 0.039 0.007 12.972 0.034 0.069
J083102+335803 2.2147716 0.218 0.008 13.956 0.035 0.051
J083141+524518 3.5138482 0.054 0.002 13.146 0.027 0.031
J083141+524518 3.5581933 0.043 0.001 13.065 0.037 0.042
J083141+524518 3.1339691 0.143 0.004 13.598 0.025 0.028
J083141+524518 3.856723 0.187 0.002 13.804 0.033 0.035
J083141+524518 3.239118 0.07 0.003 13.266 0.027 0.033
J083141+524518 3.6548484 0.072 0.001 13.303 0.032 0.036
J083141+524518 3.1085555 0.313 0.003 13.991 0.024 0.025
J083141+524518 3.0367832 0.093 0.003 13.388 0.024 0.028
J083141+524518 3.3812309 0.751 0.011 14.347 0.013 0.014
J083141+524518 3.1705047 0.243 0.006 13.841 0.021 0.024
J083141+524518 3.5329704 0.027 0.002 12.823 0.025 0.035
J083141+524518 2.9740528 0.172 0.003 13.71 0.03 0.032
J083141+524518 3.2036784 0.252 0.005 13.855 0.02 0.023
J084106+031206 1.4936197 0.025 0.001 12.862 0.062 0.077
J084106+031206 1.6505238 0.957 0.006 14.726 0.015 0.019
J084106+031206 1.6344192 0.203 0.004 13.874 0.032 0.037
J084106+031206 1.5739075 0.022 0.002 12.731 0.038 0.057
J084106+031206 1.6184246 0.417 0.004 14.553 0.0 1.0
J092129-261843 2.1028055 0.432 0.005 14.426 0.0 1.0
J092129-261843 2.1419833 0.178 0.002 13.878 0.049 0.056
J092129-261843 2.0031288 0.146 0.008 13.615 0.03 0.039
J092129-261843 1.667974 1.242 0.005 14.976 0.0 1.0
J092129-261843 1.8456003 1.467 0.007 15.062 0.0 1.0
J092129-261843 2.2621276 0.029 0.004 12.843 0.028 0.056
J092129-261843 1.6461509 0.051 0.002 13.167 0.057 0.068
J092221+084312 1.9208693 0.189 0.007 13.903 0.0 1.0
J092221+084312 1.8231867 0.138 0.007 13.71 0.045 0.088
J092708+582319 1.6192945 0.029 0.003 12.914 0.034 0.064
J092708+582319 1.6056752 0.378 0.014 14.179 0.021 0.032
J092708+582319 1.5199225 0.215 0.018 13.792 0.017 0.029
J092708+582319 1.3005736 0.146 0.009 13.66 0.025 0.037
J092708+582319 1.6352894 1.704 0.014 15.011 0.0 1.0
J092759+154321 1.440867 0.086 0.007 13.554 0.0 1.0
J092759+154321 1.7321589 1.884 0.035 14.959 0.0 1.0
J092759+154321 1.4632109 0.874 0.029 14.558 0.0 1.0
J092759+154321 1.2967959 1.556 0.023 14.798 0.0 1.0
J092759+154321 1.5011965 0.354 0.008 14.223 0.0 1.0
J092914+282529 3.1935983 0.048 0.004 13.096 0.022 0.035
J092914+282529 2.4902236 0.054 0.001 13.261 0.053 0.057
J092914+282529 2.7427231 0.01 0.002 12.386 0.039 0.081
J092914+282529 2.966722 0.032 0.003 12.919 0.024 0.04
J092914+282529 2.886824 0.055 0.007 13.149 0.02 0.034
J092914+282529 3.2631284 0.258 0.008 13.867 0.016 0.02
J092914+282529 2.6293534 0.113 0.005 13.529 0.026 0.034
J092914+282529 2.8480515 0.045 0.004 13.082 0.03 0.042
J092914+282529 3.1225659 0.173 0.007 13.68 0.017 0.023
J092914+282529 2.8606264 0.134 0.005 13.591 0.024 0.031
J092914+282529 3.0147962 0.036 0.004 12.972 0.024 0.041
J092914+282529 2.5854575 0.432 0.002 14.595 0.0 1.0
J093337+284532 3.2473501 0.364 0.014 14.052 0.018 0.026
J093337+284532 2.8665879 0.262 0.005 14.083 0.0 1.0
J093337+284532 3.3435322 0.019 0.003 12.707 0.045 0.079
J093337+284532 2.6284186 0.061 0.004 13.219 0.033 0.057
J093337+284532 2.5469003 0.161 0.005 13.668 0.029 0.035
J093337+284532 3.2348509 0.077 0.007 13.32 0.025 0.049
J093509-333237 2.2026208 0.492 0.013 14.265 0.024 0.035
J093643+292713 2.6993426 0.052 0.006 13.187 0.032 0.061
J093643+292713 2.4009972 0.325 0.015 14.173 0.0 1.0
J093643+292713 2.5425081 0.075 0.002 13.569 0.045 0.068
J093643+292713 2.5965139 0.036 0.004 13.0 0.037 0.069
J093748+730158 2.3323017 1.157 0.006 14.923 0.009 0.014
J093748+730158 2.214438 0.032 0.003 12.916 0.049 0.081
J093748+730158 2.1120818 0.831 0.017 14.628 0.0 1.0
J093748+730158 2.4495483 0.069 0.006 13.253 0.028 0.048
J093748+730158 1.857247 0.026 0.003 12.828 0.046 0.091
J094202+042244 2.7304871 1.049 0.012 14.842 0.0 1.0
J094202+042244 2.8141191 0.213 0.005 13.861 0.037 0.043
J094202+042244 2.373601 0.87 0.004 14.648 0.027 0.03
J094202+042244 2.470775 0.417 0.006 14.27 0.034 0.038
J094835+432302 1.837074 0.067 0.003 13.435 0.058 0.098
J094835+432302 1.7795728 0.334 0.017 14.146 0.0 1.0
J094835+432302 1.7708166 0.118 0.011 13.579 0.027 0.062
J095309+523029 1.7675021 1.964 0.013 15.091 0.0 1.0
J095309+523029 1.3285333 1.729 0.013 15.057 0.0 1.0
J095352+080103 1.3076691 0.33 0.013 14.13 0.0 1.0
J095352+080103 1.4569187 0.317 0.012 14.11 0.031 0.045
J095352+080103 1.6554238 0.137 0.007 13.783 0.047 0.067
J095456+174331 1.2580702 0.08 0.002 13.435 0.058 0.067
J095744+330820 3.5829089 0.307 0.012 13.976 0.021 0.03
J095744+330820 3.2687401 0.051 0.001 13.231 0.062 0.079
J095744+330820 3.278624 0.302 0.015 13.95 0.02 0.028
J095744+330820 3.1810372 0.131 0.007 13.565 0.025 0.037
J095744+330820 3.6009868 0.061 0.005 13.23 0.036 0.058
J095822+014524 1.7064009 0.564 0.014 14.469 0.0 1.0
J095822+014524 1.5575929 0.103 0.004 13.554 0.034 0.05
J095822+014524 1.9278369 1.31 0.01 14.926 0.0 1.0
J095822+014524 1.8264556 0.535 0.02 14.346 0.0 1.0
J095822+014524 1.5212407 0.319 0.011 14.142 0.023 0.035
J095822+014524 1.7675192 0.079 0.003 13.476 0.044 0.06
J095822+014524 1.8942526 0.113 0.005 13.6 0.034 0.047
J095822+014524 1.869881 0.277 0.011 14.101 0.026 0.041
J095822+014524 1.720275 0.113 0.005 13.582 0.032 0.046
J095822+014524 1.3582962 0.637 0.011 14.554 0.0 1.0
J100523+115712 1.3993316 0.662 0.008 14.484 0.0 1.0
J100841+362319 2.8703607 0.133 0.004 13.681 0.034 0.042
J100841+362319 2.9490708 0.374 0.012 14.097 0.018 0.024
J100841+362319 2.4042192 0.114 0.005 13.546 0.029 0.04
J101336+561536 2.7441021 0.222 0.011 13.894 0.023 0.037
J101336+561536 3.5709746 0.616 0.038 14.296 0.012 0.02
J101336+561536 3.0816476 0.557 0.025 14.476 0.005 0.009
J101336+561536 2.6851453 0.532 0.015 14.3 0.0 1.0
J101549+002020 4.3491582 0.09 0.007 13.447 0.036 0.065
J101549+002020 3.2786179 0.137 0.006 13.604 0.029 0.039
J101723-204658 2.2479822 0.226 0.004 13.939 0.03 0.034
J101723-204658 2.2760437 0.01 0.001 12.449 0.038 0.07
J101723-204658 2.0735372 0.392 0.007 14.119 0.019 0.022
J101723-204658 2.1676468 0.024 0.003 12.788 0.028 0.047
J101723-204658 2.3490032 1.006 0.014 14.726 0.013 0.017
J101723-204658 2.4504411 0.059 0.004 13.222 0.033 0.042
J101723-204658 2.1233629 0.088 0.002 13.483 0.043 0.048
J101723-204658 2.418989 0.04 0.006 13.008 0.016 0.035
J101939+524627 1.9814436 0.083 0.004 13.441 0.033 0.052
J101939+524627 1.8323676 1.217 0.012 14.845 0.0 1.0
J101939+524627 1.5386137 1.334 0.005 15.064 0.0 1.0
J101939+524627 2.017973 1.071 0.02 14.827 0.0 1.0
J101939+524627 1.5783554 0.08 0.003 13.456 0.041 0.054
J102009+104002 2.3523836 0.028 0.002 12.889 0.038 0.065
J102009+104002 3.0097627 0.132 0.003 13.69 0.049 0.059
J102009+104002 2.5405899 0.296 0.007 13.944 0.024 0.03
J102009+104002 2.5652724 0.3 0.005 14.053 0.034 0.042
J102009+104002 3.0916196 0.057 0.005 13.178 0.035 0.055
J102009+104002 3.1116077 0.833 0.013 14.556 0.023 0.029
J102009+104002 2.7136409 0.042 0.003 13.044 0.036 0.059
J102156+300140 2.4770382 0.182 0.007 13.772 0.029 0.041
J102156+300140 2.7861209 0.084 0.01 13.336 0.026 0.049
J102156+300140 2.330235 1.627 0.014 14.98 0.0 1.0
J102156+300140 2.7193859 0.237 0.008 13.913 0.029 0.038
J102156+300140 2.9491669 0.31 0.013 13.996 0.022 0.032
J102156+300140 3.0348029 0.105 0.008 13.459 0.024 0.041
J102156+300140 2.5466314 0.047 0.008 13.105 0.028 0.061
J102156+300140 2.9142832 0.116 0.009 13.52 0.027 0.045
J102325+514251 2.644236 0.462 0.012 14.339 0.0 1.0
J102325+514251 3.1035738 0.111 0.01 13.471 0.016 0.029
J102325+514251 2.7656709 0.046 0.006 13.097 0.023 0.045
J102325+514251 2.8773435 0.05 0.004 13.147 0.027 0.048
J102325+514251 3.209482 0.286 0.01 14.036 0.024 0.033
J102325+514251 2.9755245 0.168 0.004 13.755 0.028 0.035
J102325+514251 3.4021494 0.567 0.02 14.249 0.013 0.018
J102410+060013 1.7804297 0.168 0.007 13.775 0.038 0.06
J102410+060013 1.7199946 0.222 0.008 13.967 0.034 0.057
J102410+060013 1.8693106 0.304 0.013 14.084 0.022 0.041
J103514+544040 2.2095319 1.138 0.006 14.905 0.016 0.023
J103514+544040 2.457507 0.255 0.013 13.865 0.024 0.038
J103514+544040 2.8496772 0.016 0.001 12.637 0.067 0.112
J103514+544040 2.6847475 0.53 0.024 14.204 0.018 0.026
J103514+544040 2.5908173 0.047 0.003 13.132 0.063 0.084
J103514+544040 2.8953604 0.232 0.006 13.962 0.04 0.052
J103514+544040 2.3845223 0.057 0.004 13.215 0.054 0.078
J103514+544040 2.3333754 0.123 0.006 13.58 0.046 0.061
J103623-034320 3.5092937 0.107 0.009 13.493 0.029 0.047
J103909-231326 3.0859908 0.011 0.001 12.425 0.038 0.079
J103909-231326 2.6949299 0.133 0.004 13.638 0.044 0.05
J103909-231326 2.5333065 0.563 0.006 14.609 0.028 0.037
J103909-231326 2.8216295 0.526 0.008 14.38 0.031 0.037
J103909-231326 3.0301718 0.066 0.002 13.3 0.054 0.062
J103909-231326 2.5228 0.158 0.005 13.675 0.033 0.039
J103909-231326 2.7787131 0.302 0.008 14.092 0.038 0.043
J103909-231326 3.00607 0.021 0.003 12.723 0.041 0.069
J104018+572448 3.277462 0.067 0.007 13.273 0.039 0.07
J104018+572448 3.1833108 0.057 0.006 13.223 0.038 0.077
J104018+572448 3.1393074 0.053 0.007 13.17 0.037 0.084
J104018+572448 3.0122581 0.637 0.022 14.386 0.022 0.037
J104018+572448 3.2660627 0.059 0.006 13.213 0.043 0.076
J104018+572448 2.5052619 0.403 0.011 14.212 0.031 0.039
J104018+572448 2.7554118 0.259 0.007 14.011 0.034 0.056
J104032-272749 1.7551035 0.286 0.008 14.029 0.035 0.043
J104032-272749 1.8935788 0.127 0.007 13.566 0.033 0.045
J104032-272749 1.8505898 0.112 0.011 13.506 0.037 0.051
J104032-272749 1.7769343 0.731 0.03 14.375 0.018 0.023
J104032-272749 2.0138488 0.88 0.006 14.833 0.015 0.021
J104033-272308 1.514604 0.205 0.004 14.085 0.0 1.0
J104033-272308 1.7557825 0.103 0.008 13.472 0.032 0.05
J104040-272437 1.9507335 0.211 0.003 14.131 0.0 1.0
J104040-272437 2.3788048 0.155 0.006 13.777 0.047 0.061
J104040-272437 2.2341173 1.983 0.014 15.133 0.0 1.0
J104040-272437 2.3994954 0.044 0.004 13.025 0.044 0.075
J104040-272437 1.9634253 0.604 0.007 14.579 0.0 1.0
J104213+062853 1.5069665 0.776 0.017 14.598 0.0 1.0
J104213+062853 1.9960442 0.726 0.016 14.483 0.022 0.03
J104213+062853 1.4753673 1.204 0.01 14.872 0.008 0.015
J104213+062853 1.7436117 0.224 0.008 14.029 0.0 1.0
J104252+011736 1.853658 0.373 0.008 14.239 0.0 1.0
J104252+011736 1.7478361 1.022 0.005 14.92 0.0 1.0
J104252+011736 2.2673729 0.776 0.017 14.55 0.0 1.0
J104642+053107 2.3248292 0.095 0.007 13.424 0.038 0.05
J104642+053107 2.1591025 0.102 0.001 13.82 0.07 0.098
J104642+053107 2.1855589 0.101 0.003 13.558 0.057 0.067
J104642+053107 2.461898 0.025 0.002 12.825 0.053 0.082
J104642+053107 2.200262 0.178 0.003 13.976 0.039 0.049
J104642+053107 2.5746231 0.38 0.007 14.132 0.028 0.033
J104642+053107 2.4525871 0.048 0.003 13.137 0.048 0.066
J105123+354534 4.0323703 0.182 0.015 13.828 0.027 0.044
J105123+354534 4.3837198 0.058 0.007 13.222 0.03 0.065
J105123+354534 4.260335 0.154 0.019 13.66 0.02 0.038
J105123+354534 4.2031309 0.091 0.009 13.425 0.026 0.05
J105648+120826 1.6454062 0.619 0.011 14.518 0.0 1.0
J105648+120826 1.6728448 0.166 0.007 13.741 0.035 0.046
J105648+120826 1.493029 0.822 0.009 14.634 0.015 0.023
J105744+062914 2.4109523 0.189 0.01 13.82 0.036 0.051
J105744+062914 2.3977127 0.071 0.005 13.341 0.043 0.067
J105744+062914 2.3759723 0.09 0.004 13.612 0.068 0.093
J105744+062914 2.4986606 1.536 0.028 14.836 0.0 1.0
J105744+062914 2.9386844 0.117 0.012 13.515 0.022 0.047
J105744+062914 3.0141303 0.086 0.008 13.361 0.027 0.057
J105744+062914 2.2922957 0.131 0.009 13.56 0.03 0.044
J105756+455553 3.1672634 0.222 0.006 13.791 0.02 0.025
J105756+455553 3.4053531 0.057 0.006 13.158 0.025 0.043
J105756+455553 3.7538517 0.234 0.012 13.982 0.027 0.052
J105756+455553 3.2382656 0.612 0.009 14.376 0.021 0.025
J105756+455553 3.2687148 0.03 0.003 12.884 0.031 0.049
J105756+455553 3.5209732 0.029 0.002 12.881 0.036 0.053
J105756+455553 3.3167694 0.397 0.014 14.104 0.021 0.026
J105756+455553 3.5322639 0.682 0.011 14.478 0.0 1.0
J105756+455553 3.1222058 0.059 0.003 13.252 0.052 0.058
J105756+455553 3.8260434 0.39 0.013 14.124 0.019 0.027
J105800-302455 1.8402836 0.216 0.01 13.846 0.03 0.045
J110045+112239 3.74176 1.018 0.019 14.65 0.0 1.0
J110610+640009 1.8919517 0.511 0.005 14.373 0.022 0.024
J110610+640009 1.8408509 0.08 0.001 13.591 0.055 0.062
J110610+640009 1.7193576 0.04 0.003 13.049 0.037 0.048
J110610+640009 1.9410618 0.383 0.005 14.291 0.024 0.032
J110610+640009 2.0455827 0.107 0.005 13.522 0.034 0.04
J110621+104432 1.6211021 0.095 0.005 13.695 0.044 0.094
J110621+104432 1.6751038 0.986 0.013 14.688 0.0 1.0
J110621+104432 1.3701633 1.258 0.006 14.864 0.0 1.0
