QSO z_abs EW_r EW_r_e logN logN_l logN_u
J004530-261709 2.91256 0.041 0.005 13.053 0.03 0.054
J004612-293109 1.2401187 0.724 0.011 14.543 0.0 1.0
J004612-293109 1.1597478 0.168 0.008 13.91 0.0 1.0
J004612-293109 1.1481616 0.284 0.004 14.228 0.0 1.0
J004612-293109 1.3164006 0.065 0.004 13.319 0.054 0.079
J005102-252846 2.0476783 0.103 0.004 13.656 0.058 0.085
J005102-252846 1.4527263 0.089 0.009 13.411 0.036 0.062
J005202+010129 2.1674471 0.111 0.016 13.454 0.021 0.054
J005202+010129 2.1918166 0.382 0.008 14.326 0.029 0.054
J005202+010129 1.9623888 0.104 0.007 13.537 0.051 0.072
J005202+010129 1.9114096 0.566 0.01 14.532 0.0 1.0
J005202+010129 1.6013269 0.296 0.009 13.992 0.028 0.036
J005700+143737 2.0051166 0.149 0.008 13.684 0.032 0.056
J005700+143737 2.2182794 0.11 0.01 13.499 0.031 0.059
J005700+143737 2.0175645 0.253 0.009 14.107 0.0 1.0
J005700+143737 2.3213781 0.144 0.008 13.703 0.042 0.067
J005814+011530 2.1963675 0.768 0.008 14.699 0.0 1.0
J005814+011530 1.9737943 0.256 0.005 14.067 0.04 0.055
J005814+011530 2.1443689 0.317 0.009 14.141 0.04 0.058
J005814+011530 2.3551984 0.112 0.013 13.491 0.031 0.059
J005814+011530 1.8672044 0.3 0.005 14.235 0.0 1.0
J005814+011530 2.0119895 1.502 0.016 14.929 0.0 1.0
J005814+011530 2.2356554 0.131 0.009 13.586 0.033 0.055
J005814+011530 2.0321926 0.327 0.01 14.049 0.031 0.043
J005814+011530 2.2876146 0.15 0.01 13.65 0.039 0.058
J005824+004113 1.4067669 0.058 0.004 13.207 0.035 0.05
J005824+004113 1.4577925 0.435 0.007 14.327 0.0 1.0
J005824+004113 1.8317928 0.417 0.004 14.449 0.02 0.024
J010054+021136 1.463642 1.05 0.007 14.878 0.01 0.018
J010054+021136 1.8164849 0.026 0.003 12.822 0.039 0.069
J010104-285801 2.2835072 0.119 0.008 13.527 0.03 0.048
J010104-285801 2.8770743 0.087 0.007 13.436 0.041 0.07
J010104-285801 2.6710627 0.084 0.008 13.35 0.027 0.056
J010104-285801 2.6417864 0.141 0.013 13.609 0.029 0.049
J010311+131618 2.3093226 0.06 0.003 13.197 0.044 0.056
J010311+131618 2.048014 0.02 0.003 12.69 0.043 0.088
J010311+131618 1.9682111 0.024 0.001 12.816 0.077 0.099
